sample,group,Treatment,Niche,TN,NH4_N,NO3_N,MBN,TC,OM,MBC,TP,AP,TK,AK,pH,APP,LAP,NAG,Urease,BG,CBH,BX,AKP,EMF
N4.Z.3,N4.Z,N4,Rootzone,1.583918786,1.337435897,21.4825641,13.04,19.12223482,25.44755918,169.4808497,1.266474465,42.9,20.09884679,120,7.89,4.073610819,0.603639695,0.004952588,0.264363298,0.007429175,0.01145878,0.01719813,0.062067138,0.349487587
N4.Z.4,N4.Z,N4,Rootzone,1.564406013,1.358333333,21.14820513,12.95641026,19.15993357,24.98855023,158.9974981,1.234817814,42.6,19.91902834,124,7.9,4.025937186,0.914818059,0.004446604,0.26623426,0.012520744,0.010766997,0.01666071,0.052044188,0.313241371
N4.Z.5,N4.Z,N4,Rootzone,1.528199172,1.337435897,21.44076923,12.28769231,19.08560658,25.35328211,190.4475527,1.233416252,44.6,20.23217247,124,7.87,3.492433289,1.264478044,0.004549145,0.258807098,0.008894302,0.010083438,0.015274891,0.058285824,0.367047909
N6.Z.1,N6.Z,N6,Rootzone,1.570665246,1.461361607,20.04904018,12.61607143,18.77264166,23.76030191,165.2557727,1.217228464,38.6,20.47440699,105,7.55,4.786141983,1.970995206,0.008293104,0.314190196,0.024717205,0.014666409,0.023240884,0.067451049,0.605179517
N6.Z.2,N6.Z,N6,Rootzone,1.497297293,1.198526786,20.02801339,12.53196429,18.00324941,24.58651044,165.2557727,1.194241687,38,20.2757502,105,7.58,5.183290494,1.945427345,0.008853039,0.319892395,0.023104895,0.016878138,0.024000338,0.057117767,0.561954175
N6.Z.3,N6.Z,N6,Rootzone,1.553301085,1.1775,20.0175,12.53196429,19.01136703,24.62158392,165.2557727,1.186198448,38.1,20.08983258,104,7.53,4.650908295,1.894211602,0.008269526,0.316867617,0.023316737,0.017839606,0.022626693,0.077561432,0.604380524
N6.Z.4,N6.Z,N6,Rootzone,1.517649001,1.188013393,19.69158482,13.03660714,18.27470565,24.6026169,151.1914516,1.171171171,39.4,20.14742015,104,7.52,5.052039623,1.983913891,0.008947777,0.315057254,0.024164691,0.019458845,0.027772187,0.069987572,0.612689452
N6.Z.5,N6.Z,N6,Rootzone,1.492331034,1.293147321,20.17520089,11.35446429,18.17473197,23.64314878,186.3522543,1.195562859,38,20.37797864,104,7.51,5.690345243,2.152451589,0.008294199,0.308932288,0.023835281,0.016678912,0.039323248,0.061979895,0.670505282
N0.RH.1,N0.RH,N0,Rhizosphere,1.124672747,0.796398467,11.46394636,8.550804598,16.47857189,18.19851644,113.8979932,1.552706553,52.9,20.02442002,120,8.11,1.920858351,1.287377941,0.00494039,0.153350939,0.011636186,0.010809265,0.00482943,0.059233382,-0.273594735
N0.RH.2,N0.RH,N0,Rhizosphere,1.109150505,0.922145594,11.20197318,8.718467433,16.03424311,17.43639923,108.6411628,1.573398216,52.1,20.1135442,120,8.1,0.256402401,0.951537203,0.005924752,0.158168949,0.009338685,0.009346654,0.007995035,0.06241588,-0.321117081
