ASV	CK.N.1	CK.N.2	CK.N.3	CK.N.4	CK.N.5	CK.RT.1	CK.RT.2	CK.RT.3	CK.RT.4	CK.RT.5	CK.RH.1	CK.RH.2	CK.RH.3	CK.RH.4	CK.RH.5	CK.Z.1	CK.Z.2	CK.Z.3	CK.Z.4	CK.Z.5	CK.O.1	CK.O.2	CK.O.3	CK.O.4	CK.O.5	M.N.1	M.N.2	M.N.3	M.N.4	M.N.5	M.RT.1	M.RT.2	M.RT.3	M.RT.4	M.RT.5	M.RH.1	M.RH.2	M.RH.3	M.RH.4	M.RH.5	M.Z.1	M.Z.2	M.Z.3	M.Z.4	M.Z.5	M.O.1	M.O.2	M.O.3	M.O.4	M.O.5	N0.N.1	N0.N.2	N0.N.3	N0.N.4	N0.N.5	N0.RT.1	N0.RT.2	N0.RT.3	N0.RT.4	N0.RT.5	N0.RH.1	N0.RH.2	N0.RH.3	N0.RH.4	N0.RH.5	N0.Z.1	N0.Z.2	N0.Z.3	N0.Z.4	N0.Z.5	N0.O.1	N0.O.2	N0.O.3	N0.O.4	N0.O.5	N2.N.1	N2.N.2	N2.N.3	N2.N.4	N2.N.5	N2.RT.1	N2.RT.2	N2.RT.3	N2.RT.4	N2.RT.5	N2.RH.1	N2.RH.2	N2.RH.3	N2.RH.4	N2.RH.5	N2.Z.1	N2.Z.2	N2.Z.3	N2.Z.4	N2.Z.5	N2.O.1	N2.O.2	N2.O.3	N2.O.4	N2.O.5	N4.N.1	N4.N.2	N4.N.3	N4.N.4	N4.N.5	N4.RT.1	N4.RT.2	N4.RT.3	N4.RT.4	N4.RT.5	N4.RH.1	N4.RH.2	N4.RH.3	N4.RH.4	N4.RH.5	N4.Z.1	N4.Z.2	N4.Z.3	N4.Z.4	N4.Z.5	N4.O.1	N4.O.2	N4.O.3	N4.O.4	N4.O.5	N6.N.1	N6.N.2	N6.N.3	N6.N.4	N6.N.5	N6.RT.1	N6.RT.2	N6.RT.3	N6.RT.4	N6.RT.5	N6.RH.1	N6.RH.2	N6.RH.3	N6.RH.4	N6.RH.5	N6.Z.1	N6.Z.2	N6.Z.3	N6.Z.4	N6.Z.5	N6.O.1	N6.O.2	N6.O.3	N6.O.4	N6.O.5	NPK.N.1	NPK.N.2	NPK.N.3	NPK.N.4	NPK.N.5	NPK.RT.1	NPK.RT.2	NPK.RT.3	NPK.RT.4	NPK.RT.5	NPK.RH.1	NPK.RH.2	NPK.RH.3	NPK.RH.4	NPK.RH.5	NPK.Z.1	NPK.Z.2	NPK.Z.3	NPK.Z.4	NPK.Z.5	NPK.O.1	NPK.O.2	NPK.O.3	NPK.O.4	NPK.O.5
ASV_76	1	0	0	1	1	30	18	34	7	48	16	15	25	33	18	43	24	40	30	29	39	17	35	18	28	0	0	0	0	0	50	29	26	30	22	14	4	14	42	20	62	63	54	52	59	24	40	26	30	27	0	0	0	0	0	15	6	0	20	6	23	10	8	31	28	74	52	77	75	51	52	47	40	49	65	0	0	0	0	0	12	20	38	25	13	37	23	20	22	38	25	39	41	54	38	80	50	52	63	59	0	0	0	0	0	10	20	18	9	19	21	7	9	19	26	23	27	34	38	29	20	15	11	20	7	0	0	1	2	1	8	41	25	15	22	15	6	9	20	24	27	32	0	0	34	16	12	8	19	27	0	1	0	0	0	55	40	31	51	58	15	20	24	26	21	32	27	34	31	36	15	21	28	17	16
ASV_89	1	0	1	1	0	79	27	113	26	29	7	16	14	19	7	40	17	0	24	34	27	19	19	6	29	0	0	0	1	0	42	31	39	38	36	5	2	4	15	6	34	21	22	22	22	15	26	14	18	18	0	0	0	0	0	23	3	31	12	0	7	5	0	8	5	27	13	0	0	17	26	35	28	26	13	0	0	0	0	0	14	29	14	6	9	0	5	6	5	7	6	9	5	7	0	11	0	10	13	11	0	0	0	0	0	6	16	13	0	12	3	0	4	5	0	9	8	8	0	8	0	1	0	5	0	0	0	0	0	1	12	45	28	24	26	11	4	6	0	13	0	0	18	0	20	5	0	3	7	13	1	1	1	0	0	42	29	47	65	39	9	13	15	13	10	20	23	27	18	19	4	4	6	5	0
ASV_90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	182	171	65	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	195	141	197	170	86	0	0	0	0	0	0	3	0	0	0	12	4	4	29	10	28	64	127	107	65	39	53	333	77	118	0	0	0	0	0	0	0	0	0	0	4	0	3	3	4	16	19	21	19	17	71	105	83	69	56	0	0	0	0	0	5	0	0	0	0	8	9	10	30	14	27	27	33	49	36	171	293	242	197	402	0	0	0	0	0	0	0	0	0	0	4	0	2	5	6	15	10	0	13	10	123	180	176	148	78	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	6	0	4	0	170	157	109	158	192
ASV_96	1	0	0	0	0	52	17	85	39	59	26	33	22	41	24	44	47	82	47	73	21	28	28	14	26	0	0	0	0	0	28	21	26	20	43	9	0	0	10	6	27	50	37	51	25	28	23	26	30	23	0	0	0	0	0	66	11	14	18	5	11	11	4	25	17	40	49	81	70	45	7	17	29	28	22	0	0	0	0	0	0	24	7	6	32	7	6	3	3	9	16	19	17	14	19	13	16	15	17	0	0	0	0	0	0	0	12	4	5	5	5	3	6	7	7	9	12	0	0	12	7	0	0	0	0	0	0	0	0	0	5	16	10	16	3	3	2	3	3	5	0	0	0	20	0	0	0	0	16	8	0	0	0	0	0	33	31	13	26	33	0	5	10	13	11	27	18	27	26	9	17	23	21	11	13
ASV_99	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	9	12	8	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	74	30	9	203	6	10	7	0	6	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	30	29	32	19	18	6	9	9	6	6	0	0	0	0	6	0	0	0	0	0	0	0	1	1	0	185	12	32	65	40	16	5	11	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	43	92	13	57	4	7	7	7	7	7	4	8	4	3	0	0	0	0	0
ASV_100	0	1	1	0	1	16	21	39	6	5	14	26	13	38	15	7	10	13	10	10	7	5	6	454	19	0	0	0	0	0	9	7	22	13	14	13	5	11	38	46	6	9	0	5	7	9	14	11	11	18	0	0	0	0	0	9	1	34	12	0	15	16	4	21	15	8	0	8	0	0	11	13	3	8	9	0	0	0	0	0	31	53	0	5	10	30	27	26	37	17	6	6	4	2	7	8	6	5	9	8	0	0	0	0	0	8	8	12	12	3	19	26	15	11	10	5	8	3	8	4	0	2	0	0	1	0	0	0	0	0	28	8	23	9	15	24	31	41	29	31	9	10	11	0	8	4	0	0	5	4	0	0	0	0	0	17	16	20	10	31	27	58	43	48	38	14	12	12	13	12	9	7	6	4	5
ASV_105	0	0	0	0	0	34	6	27	3	29	13	14	15	18	14	21	13	28	17	18	22	17	32	19	24	0	0	0	1	1	38	13	21	26	25	7	2	7	27	11	27	33	28	28	27	21	26	19	30	27	0	0	0	0	0	3	2	4	13	0	14	7	5	15	8	0	19	0	0	15	51	36	37	37	41	0	0	0	1	0	0	5	22	10	5	22	19	16	18	27	17	35	16	31	18	46	49	25	54	43	0	0	0	1	0	30	25	23	18	16	24	11	13	24	29	33	35	39	29	26	21	12	12	24	16	0	0	0	0	1	8	23	27	18	21	17	8	7	29	26	36	34	34	0	56	13	11	13	24	25	0	0	1	0	0	44	18	27	44	31	13	16	22	20	18	19	27	30	21	23	14	29	18	16	12
ASV_113	0	0	0	0	0	0	7	14	0	3	14	17	12	24	7	49	38	70	56	60	71	56	84	26	49	0	0	0	0	0	28	13	17	22	15	6	0	8	23	9	87	138	91	96	67	65	59	46	41	45	0	0	0	0	0	4	2	9	0	0	14	6	4	15	0	51	36	33	57	37	32	37	58	64	36	0	0	0	0	0	0	17	0	6	5	25	19	29	14	17	53	38	63	62	53	57	53	55	107	80	0	0	0	0	0	7	4	9	16	6	17	7	10	0	20	35	28	25	0	39	37	20	25	37	15	0	0	0	0	0	0	11	27	13	11	15	4	5	22	20	55	50	28	41	62	28	17	0	40	26	0	0	0	0	0	33	20	14	37	7	14	17	19	21	25	50	51	57	43	39	34	46	74	39	35
ASV_125	0	0	0	0	0	0	4	7	0	2	2	3	4	5	0	6	4	0	8	7	4	5	0	5	5	0	0	0	0	0	21	14	18	18	18	0	1	5	16	6	20	24	20	28	25	8	12	11	14	16	0	0	0	0	0	0	1	0	11	5	0	1	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	24	9	47	20	4	22	12	20	18	30	25	25	23	35	24	18	17	18	13	0	0	1	0	0	0	24	24	40	24	10	33	12	23	13	37	30	30	35	36	39	14	9	11	11	7	0	0	0	0	0	19	24	46	17	20	33	6	14	42	34	46	38	47	62	35	15	12	7	17	24	0	0	0	0	0	30	40	25	46	40	18	27	27	29	18	34	28	29	32	32	10	12	12	12	7
ASV_126	0	0	0	0	0	0	6	13	0	11	0	7	0	14	3	21	26	0	0	30	26	23	23	13	18	0	0	0	0	0	9	15	15	17	13	0	1	5	10	12	76	63	54	43	44	37	31	31	25	30	0	0	0	0	0	0	0	0	6	6	6	3	1	0	4	34	42	35	41	73	38	35	42	36	77	0	0	0	0	0	26	15	0	8	12	22	11	0	16	15	40	43	45	68	44	70	80	42	60	61	0	0	0	0	0	0	16	0	5	17	0	0	13	15	16	51	50	51	44	61	44	31	42	61	31	0	0	0	0	0	0	29	9	14	13	17	7	8	21	23	93	81	87	68	90	68	49	33	67	69	0	0	0	0	0	23	15	13	14	23	9	15	21	25	17	48	61	83	39	41	29	53	28	29	29
