sample,EMF_MFS,EMF_RZS,deltaEMF,Niche,treatment,group,Nitrogen,NicheSelc,richness_RHI,PCoA1_RHI,richness_AMF,PCoA1_AMF,nifH,Anammox_Bacteria,hzsB,amoA_archaea,amoA_becteria,nxrA,comammoxA,napA,nirS,nirK,qnorB,nosZ,TN,NH4_N,NO3_N,MBN,TC,OM,MBC,TP,AP,TK,AK,pH,APP,LAP,NAG,Urease,BG,CBH,BX,AKP,Ngenes
N0.RH.2,-0.321117081,0.024540671,0.279965753,Rhizosphere,N0,N0.RH,0,2,291,-0.268920791,726,-0.291195309,3961.03861,321910974.5,80690.0869,63062725.52,569480076.2,48430.05667,878797.3912,1060214.205,7132688.204,25139242.62,43232.68202,752980.2282,1.109150505,0.922145594,11.20197318,8.718467433,16.03424311,17.43639923,108.6411628,1.573398216,52.1,20.1135442,120,8.1,0.256402401,0.951537203,0.005924752,0.158168949,0.009338685,0.009346654,0.007995035,0.06241588,0.287071683
N0.RH.3,-0.371243004,0.195649549,0.403539126,Rhizosphere,N0,N0.RH,0,2,235,-0.412290323,524,-0.297426775,4011.057067,271225710.5,108828.0584,42750850.52,483897270.2,36673.32922,1086305.626,1303798.199,7577300.794,53024844.42,23270.0283,835526.4844,1.110307729,0.953582375,11.30676245,9.389118774,16.13422871,17.336625,113.8979932,1.567256273,50.3,20.0740436,119,8.03,0.085018507,1.084967515,0.004821331,0.153513206,0.009109372,0.008868732,0.005392078,0.052342077,0.314120415
N0.RH.4,-0.392166303,0.106999952,0.340880888,Rhizosphere,N0,N0.RH,0,2,190,-0.039906784,194,-0.01885921,1084.93419,225373717.1,66613.92041,29386109.76,269480964.1,40522.43012,1093067.177,822930.0511,4822375.207,6562128.065,53137.19649,595697.407,1.150425977,0.838314176,11.36963602,8.718467433,16.46581769,17.92855566,115.65027,1.527609835,52.7,20.15316405,120,8,0.449421603,1.035590347,0.005327318,0.150646419,0.007412271,0.008960286,0.005688205,0.029506364,-0.01152862
N0.RH.5,-0.259851215,-0.09305673,0.087042759,Rhizosphere,N0,N0.RH,0,2,182,-0.153106895,195,-0.014529162,1603.542517,195686663.3,72680.01073,21100320.47,113169079.4,49512.65138,1078454.146,772488.9709,4926215.899,11843255.28,45588.64169,917327.3133,1.132215118,0.78591954,11.12862069,8.969961686,16.34610534,17.97550464,122.6593773,1.582955949,50.1,20.25524907,120,7.99,0.360681637,1.52094194,0.00565362,0.151775518,0.009031229,0.007878001,0.004076527,0.07447219,0.090727963
N0.Z.1,-0.273594735,0.24174438,0.329844997,Rootzone,N0,N0.Z,0,1,226,0.170571331,728,-0.286701923,8037388.105,377473504.2,281714.5943,133068529.8,1098093730,41218.30333,850595.4763,757159.7353,6289082.579,3108422.093,79381.73296,220680.0202,1.124672747,0.796398467,11.46394636,8.550804598,16.47857189,18.19851644,113.8979932,1.552706553,52.9,20.02442002,120,8.11,1.920858351,1.287377941,0.00494039,0.153350939,0.011636186,0.010809265,0.00482943,0.059233382,0.261359394
N0.Z.2,-0.321117081,0.024540671,0.279965753,Rootzone,N0,N0.Z,0,1,175,0.16367286,608,-0.333782753,6922830.145,337375836.4,256253.4551,131873870.7,972791647,52415.50195,1135765.711,776354.1302,5952971.007,2842970.601,105863.5524,176787.4324,1.109150505,0.922145594,11.20197318,8.718467433,16.03424311,17.43639923,108.6411628,1.573398216,52.1,20.1135442,120,8.1,0.256402401,0.951537203,0.005924752,0.158168949,0.009338685,0.009346654,0.007995035,0.06241588,0.288449755
N0.Z.3,-0.371243004,0.195649549,0.403539126,Rootzone,N0,N0.Z,0,1,186,0.068931512,652,-0.256704036,9343119.913,277680722.1,251845.4488,96167971.55,389464047.4,33746.7998,2607186.344,460586.5358,2086814.31,2328850.571,82690.64645,87477.46895,1.110307729,0.953582375,11.30676245,9.389118774,16.13422871,17.336625,113.8979932,1.567256273,50.3,20.0740436,119,8.03,0.085018507,1.084967515,0.004821331,0.153513206,0.009109372,0.008868732,0.005392078,0.052342077,-0.132930335
N0.Z.4,-0.392166303,0.106999952,0.340880888,Rootzone,N0,N0.Z,0,1,151,0.031159536,429,-0.291393772,5085223.625,277081878.9,257256.6883,66475932.52,679289676.6,18969.507,2007957.573,355683.8092,2496707.968,2052813.19,34709.82343,125027.652,1.150425977,0.838314176,11.36963602,8.718467433,16.46581769,17.92855566,115.65027,1.527609835,52.7,20.15316405,120,8,0.449421603,1.035590347,0.005327318,0.150646419,0.007412271,0.008960286,0.005688205,0.029506364,-0.304332335
N0.Z.5,-0.259851215,-0.09305673,0.087042759,Rootzone,N0,N0.Z,0,1,162,0.066711613,613,-0.270380582,7357935.21,321953312.2,247110.2531,61808204.32,476671902.4,31300.37326,1985239.796,521662.414,2387569.983,2233978.905,87400.47742,132216.2123,1.132215118,0.78591954,11.12862069,8.969961686,16.34610534,17.97550464,122.6593773,1.582955949,50.1,20.25524907,120,7.99,0.360681637,1.52094194,0.00565362,0.151775518,0.009031229,0.007878001,0.004076527,0.07447219,-0.16312229
N2.N.1,0.008537377,-0.245032196,-0.106539183,Nodule,N2,N2.N,200,4,44,-0.530869414,67,-0.021607689,72195151.57,804087.935,106512.3413,864789.6086,451481773.8,13240.60816,8858634.997,102087.2748,11260184.58,551756175.5,0,51798.29508,1.353230692,1.151430636,28.74351156,11.32416185,18.58348131,22.78202996,167.8111371,1.174960506,31.8,20.22116904,94,7.54,0.339141197,0.676292854,0.003382716,0.259890157,0.004557887,0.008131,0.004070004,0.091038462,0.170863662
N2.N.2,0.025622568,-0.119815709,0.049914433,Nodule,N2,N2.N,200,4,43,-0.531328476,320,0.020219277,52325204.21,1167046.047,174039.7641,1155850.143,640691165.1,53485.39091,11934999.72,778297.1776,3920386.703,2629213521,0,191859.7326,1.336027092,1.352138728,29.74705202,12.42277457,18.19019675,23.17222252,155.4461059,1.201641266,31,20.63305979,94,7.55,0.292128354,0.736967397,0.003039753,0.256970227,0.005713409,0.008920349,0.004742394,0.077593957,0.679737449
N2.N.3,0.046004485,-0.12570577,0.130108798,Nodule,N2,N2.N,200,4,54,-0.530995707,174,-0.074079146,78676887.13,2186685.235,86028.75152,2751791.937,271649317.7,60884.37391,8698711.747,1917987.138,3196084.692,819006040.3,0,115031.3059,1.323506093,1.352138728,29.03929191,12.59179191,18.24356556,23.5883546,151.9132399,1.209072978,31.6,19.72386588,93,7.6,6.530287116,0.431430014,0.00193455,0.256237442,0.003230583,0.010934601,0.01558906,0.056455119,0.58099114
N2.N.4,-0.11171926,-0.156720739,0.176759708,Nodule,N2,N2.N,200,4,47,-0.530742324,276,-0.008459356,35367783.9,394287.7236,28399.95133,259544.5455,103350625.7,40247.24607,2786387.323,893197.4851,1555352.494,823722841.2,0,63541.57894,1.332627094,1.172557803,28.83858382,12.42277457,18.26255202,23.19222418,158.9789719,1.191860465,31.9,19.68992248,94,7.57,3.179865286,0.548734399,0.001688613,0.239202844,0.003503789,0.006638888,0.01096452,0.05010226,-0.0962689
N2.N.5,0.405291893,-0.096473887,-0.074387717,Nodule,N2,N2.N,200,4,36,-0.531269102,666,-0.065044028,70688302.85,1064202.792,13768.10389,452856.8063,49018137.36,17741.64596,980885.9532,295292.9316,3171091.798,548191801.7,0,53870.71807,1.335964507,1.225375723,29.55690751,11.15514451,18.40659618,23.75616884,176.6433022,1.158346334,32.3,19.50078003,95,7.53,5.821136861,2.07726536,0.001812416,0.25831144,0.003716222,0.02501296,0.024350054,0.098389434,-0.190502103
N2.R.1,0.008537377,-0.245032196,-0.106539183,Root,N2,N2.R,200,3,179,-0.25399693,299,-0.103724002,83704.13966,386920.5374,791776.7356,449756.1862,356057145.6,6526.306645,28768417.63,200150.7408,83704.13966,1474537.763,472.4433319,65280.28067,1.353230692,1.151430636,28.74351156,11.32416185,18.58348131,22.78202996,167.8111371,1.174960506,31.8,20.22116904,94,7.54,0.339141197,0.676292854,0.003382716,0.259890157,0.004557887,0.008131,0.004070004,0.091038462,-0.326897496
N2.R.2,0.025622568,-0.119815709,0.049914433,Root,N2,N2.R,200,3,337,-0.0922738,273,-0.033252944,43037.49551,545097.1767,875985.2,454435.3329,1308526963,7752.667149,34382025.48,440513.198,43037.49551,1767028.172,458.9853013,102697.5019,1.336027092,1.352138728,29.74705202,12.42277457,18.19019675,23.17222252,155.4461059,1.201641266,31,20.63305979,94,7.55,0.292128354,0.736967397,0.003039753,0.256970227,0.005713409,0.008920349,0.004742394,0.077593957,-0.143502707
N2.R.3,0.046004485,-0.12570577,0.130108798,Root,N2,N2.R,200,3,314,-0.012442493,129,-0.004492426,50884.13768,1301547.738,720288.8981,746365.219,299977070.9,7580.512332,33249237.55,250944.5214,50884.13768,1654086.895,212.1009212,67035.96,1.323506093,1.352138728,29.03929191,12.59179191,18.24356556,23.5883546,151.9132399,1.209072978,31.6,19.72386588,93,7.6,6.530287116,0.431430014,0.00193455,0.256237442,0.003230583,0.010934601,0.01558906,0.056455119,-0.307544518
N2.R.4,-0.11171926,-0.156720739,0.176759708,Root,N2,N2.R,200,3,411,-0.319944777,186,0.012471543,26819.87737,820026.3866,710314.4869,518167.9286,1489256615,6381.685689,29841790.07,335392.2115,26819.87737,1830004.955,169.5727369,65024.55528,1.332627094,1.172557803,28.83858382,12.42277457,18.26255202,23.19222418,158.9789719,1.191860465,31.9,19.68992248,94,7.57,3.179865286,0.548734399,0.001688613,0.239202844,0.003503789,0.006638888,0.01096452,0.05010226,-0.272240907
N2.R.5,0.405291893,-0.096473887,-0.074387717,Root,N2,N2.R,200,3,403,-0.041877324,280,-0.079503595,53798.72828,702788.5016,792474.5926,555529.6396,797006136.1,6221.441533,34711618.02,248065.0949,53798.72828,1634884.928,324.6520085,83491.69534,1.335964507,1.225375723,29.55690751,11.15514451,18.40659618,23.75616884,176.6433022,1.158346334,32.3,19.50078003,95,7.53,5.821136861,2.07726536,0.001812416,0.25831144,0.003716222,0.02501296,0.024350054,0.098389434,-0.25226918
N2.RH.1,0.008537377,-0.245032196,-0.106539183,Rhizosphere,N2,N2.RH,200,2,439,0.236265743,173,-0.067340436,1012.511188,242741317.5,75127.79218,47450348.76,1039479326,63808.8051,1666253.929,709806.3808,5002103.767,5139675.376,53083.49881,977830.5457,1.353230692,1.151430636,28.74351156,11.32416185,18.58348131,22.78202996,167.8111371,1.174960506,31.8,20.22116904,94,7.54,0.339141197,0.676292854,0.003382716,0.259890157,0.004557887,0.008131,0.004070004,0.091038462,0.236963609
N2.RH.2,0.025622568,-0.119815709,0.049914433,Rhizosphere,N2,N2.RH,200,2,433,0.030992596,175,-0.037182874,987.9182853,242959183.4,74959.42549,55451133.93,1156762254,64768.55384,103514.3144,828136.3373,4279697.309,9146349.861,66764.25503,511237.8375,1.336027092,1.352138728,29.74705202,12.42277457,18.19019675,23.17222252,155.4461059,1.201641266,31,20.63305979,94,7.55,0.292128354,0.736967397,0.003039753,0.256970227,0.005713409,0.008920349,0.004742394,0.077593957,0.107129
N2.RH.3,0.046004485,-0.12570577,0.130108798,Rhizosphere,N2,N2.RH,200,2,545,0.19077569,385,-0.208408654,2176.971508,339695747.1,112647.2262,77156696.41,2394222886,91681.57788,392746.9344,1538272.937,8794657.88,10937698.92,79545.63637,1099033.985,1.323506093,1.352138728,29.03929191,12.59179191,18.24356556,23.5883546,151.9132399,1.209072978,31.6,19.72386588,93,7.6,6.530287116,0.431430014,0.00193455,0.256237442,0.003230583,0.010934601,0.01558906,0.056455119,0.878521046
N2.RH.4,-0.11171926,-0.156720739,0.176759708,Rhizosphere,N2,N2.RH,200,2,558,0.179287666,247,-0.086679289,2399.115019,309081166.8,73560.25966,57735741.21,2150783666,76381.29897,1299819.781,908644.0256,4744885.936,8442499.776,47949.41398,611252.5719,1.332627094,1.172557803,28.83858382,12.42277457,18.26255202,23.19222418,158.9789719,1.191860465,31.9,19.68992248,94,7.57,3.179865286,0.548734399,0.001688613,0.239202844,0.003503789,0.006638888,0.01096452,0.05010226,0.24023609
N2.RH.5,0.405291893,-0.096473887,-0.074387717,Rhizosphere,N2,N2.RH,200,2,649,0.254091389,160,-0.022841168,6194.92987,250540400.1,82639.42985,70769862.38,2545734383,66136.71067,3036763.948,1026927.032,5587564.1,14949101.58,90359.22222,726616.6253,1.335964507,1.225375723,29.55690751,11.15514451,18.40659618,23.75616884,176.6433022,1.158346334,32.3,19.50078003,95,7.53,5.821136861,2.07726536,0.001812416,0.25831144,0.003716222,0.02501296,0.024350054,0.098389434,0.427715951
N2.Z.1,0.008537377,-0.245032196,-0.106539183,Rootzone,N2,N2.Z,200,1,408,0.329787207,578,-0.296906367,7604811.28,317308856.4,250299.6589,127563535.1,2262068898,61204.34655,1900103.094,513442.1336,2436055.731,2079810.533,106804.4001,114669.6197,1.353230692,1.151430636,28.74351156,11.32416185,18.58348131,22.78202996,167.8111371,1.174960506,31.8,20.22116904,94,7.54,0.339141197,0.676292854,0.003382716,0.259890157,0.004557887,0.008131,0.004070004,0.091038462,0.13368177
N2.Z.2,0.025622568,-0.119815709,0.049914433,Rootzone,N2,N2.Z,200,1,404,0.327414301,468,-0.272928721,12089011.75,329987912.2,238256.0146,119280222.6,2429803215,52121.09397,2385476.873,639155.1679,2802071.103,2550931.174,80478.29313,120678.443,1.336027092,1.352138728,29.74705202,12.42277457,18.19019675,23.17222252,155.4461059,1.201641266,31,20.63305979,94,7.55,0.292128354,0.736967397,0.003039753,0.256970227,0.005713409,0.008920349,0.004742394,0.077593957,0.131042963
N2.Z.3,0.046004485,-0.12570577,0.130108798,Rootzone,N2,N2.Z,200,1,401,0.351031926,505,-0.352428364,6022632.722,293447752.5,255002.8266,127121793.7,2726807269,64198.40158,1929949.511,693302.5984,3293212.275,2300039.922,102495.6204,114950.4623,1.323506093,1.352138728,29.03929191,12.59179191,18.24356556,23.5883546,151.9132399,1.209072978,31.6,19.72386588,93,7.6,6.530287116,0.431430014,0.00193455,0.256237442,0.003230583,0.010934601,0.01558906,0.056455119,0.230157091
N2.Z.4,-0.11171926,-0.156720739,0.176759708,Rootzone,N2,N2.Z,200,1,334,0.333841953,363,-0.247846836,6088459.618,296663558.1,238738.8788,122402047.2,2245538085,66117.11698,1727589.724,595220.9272,2943963.159,2154713.888,95488.31879,128621.7758,1.332627094,1.172557803,28.83858382,12.42277457,18.26255202,23.19222418,158.9789719,1.191860465,31.9,19.68992248,94,7.57,3.179865286,0.548734399,0.001688613,0.239202844,0.003503789,0.006638888,0.01096452,0.05010226,0.157599318
N2.Z.5,0.405291893,-0.096473887,-0.074387717,Rootzone,N2,N2.Z,200,1,415,0.342805202,252,-0.083829285,8804722.577,382609996.9,223425.5863,111715684.8,3435240511,51748.7227,2179321.783,411822.8645,3231298.334,1934992.816,189563.5184,153151.6667,1.335964507,1.225375723,29.55690751,11.15514451,18.40659618,23.75616884,176.6433022,1.158346334,32.3,19.50078003,95,7.53,5.821136861,2.07726536,0.001812416,0.25831144,0.003716222,0.02501296,0.024350054,0.098389434,0.250092017
N4.N.1,0.380362612,0.47599042,0.005224296,Nodule,N4,N4.N,400,4,31,-0.531079972,79,0.02287171,4917516.299,773685.2692,131867.2562,762539.5444,539548100.8,15813.4243,11231432.1,524665.4854,967712.3538,172591631,0,71874.16381,1.561654812,1.232948718,21.47211538,13.12358974,19.15786409,25.80377952,160.7447234,1.271186441,41.9,20.17362547,123,7.86,4.108568044,1.331297564,0.00418771,0.263716822,0.015249289,0.011068058,0.01508884,0.056140094,-0.460367251
N4.N.2,0.346804875,0.598666075,0.312625835,Nodule,N4,N4.N,400,4,34,-0.530796154,219,-0.019093603,39775569.27,597155.0326,5488.255309,149524.3395,16124490.93,34376.80013,988278.0904,598822.781,632662.199,89990538.95,0,37855.50921,1.55946762,1.138910256,21.63929487,12.53846154,19.20727396,25.00745019,167.7336244,1.271699637,41.4,19.86273718,122,7.88,3.636381993,1.089358518,0.004834317,0.268866975,0.009142811,0.01164381,0.014171332,0.072393956,-0.412124819
N4.N.3,0.349487587,0.582572982,0.192544952,Nodule,N4,N4.N,400,4,29,-0.530712972,99,6.76E-05,23539401.63,634865.1988,16367.03548,268198.2252,101122472.9,9327.32253,1368608.275,248485.9052,1326365.678,95515440.25,0,53758.75633,1.583918786,1.337435897,21.4825641,13.04,19.12223482,25.44755918,169.4808497,1.266474465,42.9,20.09884679,120,7.89,4.073610819,0.603639695,0.004952588,0.264363298,0.007429175,0.01145878,0.01719813,0.062067138,-0.607267015
N4.N.4,0.313241371,0.584339405,0.310202526,Nodule,N4,N4.N,400,4,24,-0.531040418,81,-0.01414657,26593562.83,505431.1921,29503.8173,300410.3034,86828263.86,10443.26547,3415727.167,41494.23308,1033950.476,303643198.7,0,51416.61573,1.564406013,1.358333333,21.14820513,12.95641026,19.15993357,24.98855023,158.9974981,1.234817814,42.6,19.91902834,124,7.9,4.025937186,0.914818059,0.004446604,0.26623426,0.012520744,0.010766997,0.01666071,0.052044188,-0.591470669
N4.N.5,0.367047909,0.593167243,0.195226282,Nodule,N4,N4.N,400,4,39,-0.530906977,74,0.054438439,6663343.721,1063937.29,116693.5102,1252903.315,398307422.2,26397.01573,12453544.14,1105415.14,609547.3085,499354721,0,66089.13645,1.528199172,1.337435897,21.44076923,12.28769231,19.08560658,25.35328211,190.4475527,1.233416252,44.6,20.23217247,124,7.87,3.492433289,1.264478044,0.004549145,0.258807098,0.008894302,0.010083438,0.015274891,0.058285824,-0.208307904
N4.R.1,0.380362612,0.47599042,0.005224296,Root,N4,N4.R,400,3,388,-0.195430949,92,0.044084818,27711.34895,631454.3834,837038.4691,543436.2352,2694184582,8950.807999,38911930.68,446538.9185,27711.34895,1754289.425,637.4346751,92557.68161,1.561654812,1.232948718,21.47211538,13.12358974,19.15786409,25.80377952,160.7447234,1.271186441,41.9,20.17362547,123,7.86,4.108568044,1.331297564,0.00418771,0.263716822,0.015249289,0.011068058,0.01508884,0.056140094,-0.072081075
N4.R.2,0.346804875,0.598666075,0.312625835,Root,N4,N4.R,400,3,419,-0.195610746,186,0.044970122,28044.51547,705035.2559,859681.278,445714.7219,1875664974,9808.354893,38551256.9,414895.6463,28044.51547,1795103.186,1033.329602,88052.37659,1.55946762,1.138910256,21.63929487,12.53846154,19.20727396,25.00745019,167.7336244,1.271699637,41.4,19.86273718,122,7.88,3.636381993,1.089358518,0.004834317,0.268866975,0.009142811,0.01164381,0.014171332,0.072393956,-0.10485325
N4.R.3,0.349487587,0.582572982,0.192544952,Root,N4,N4.R,400,3,506,-0.078675731,174,0.035976148,26677.70086,948417.7993,31373.38733,600441.8684,1357971519,12256.82981,33083986.08,494129.9166,26677.70086,1777902.718,1135.36192,99390.6574,1.583918786,1.337435897,21.4825641,13.04,19.12223482,25.44755918,169.4808497,1.266474465,42.9,20.09884679,120,7.89,4.073610819,0.603639695,0.004952588,0.264363298,0.007429175,0.01145878,0.01719813,0.062067138,-0.421055744
N4.R.4,0.313241371,0.584339405,0.310202526,Root,N4,N4.R,400,3,486,-0.121952978,186,0.016454356,28768.72825,1103073.999,30854.15202,646152.9034,1178667804,6930.760095,29686089.19,288640.3518,28768.72825,1893512.231,775.3351112,83834.54138,1.564406013,1.358333333,21.14820513,12.95641026,19.15993357,24.98855023,158.9974981,1.234817814,42.6,19.91902834,124,7.9,4.025937186,0.914818059,0.004446604,0.26623426,0.012520744,0.010766997,0.01666071,0.052044188,-0.527583123
N4.R.5,0.367047909,0.593167243,0.195226282,Root,N4,N4.R,400,3,525,-0.191677499,194,0.037181768,29801.44631,1286919.349,43443.52266,623042.0766,1849670247,10724.29388,41264704.16,416704.3103,29801.44631,1488665.9,1311.40363,94932.00479,1.528199172,1.337435897,21.44076923,12.28769231,19.08560658,25.35328211,190.4475527,1.233416252,44.6,20.23217247,124,7.87,3.492433289,1.264478044,0.004549145,0.258807098,0.008894302,0.010083438,0.015274891,0.058285824,-0.368541099
N4.RH.1,0.380362612,0.47599042,0.005224296,Rhizosphere,N4,N4.RH,400,2,534,0.227827351,328,-0.349565198,6413.506089,363001657.9,67234.96733,79929061.04,6428937278,87371.81333,1020683.721,1175173.098,4826570.508,14132718.17,53095.38636,672328.0928,1.561654812,1.232948718,21.47211538,13.12358974,19.15786409,25.80377952,160.7447234,1.271186441,41.9,20.17362547,123,7.86,4.108568044,1.331297564,0.00418771,0.263716822,0.015249289,0.011068058,0.01508884,0.056140094,0.575769892
N4.RH.2,0.346804875,0.598666075,0.312625835,Rhizosphere,N4,N4.RH,400,2,605,0.152677978,373,-0.35230858,2496.514307,341195258,56653.56554,127227129.4,3189463695,93478.64126,1335360.512,823196.5923,4371483.866,27834655.61,82156.49757,768676.1046,1.55946762,1.138910256,21.63929487,12.53846154,19.20727396,25.00745019,167.7336244,1.271699637,41.4,19.86273718,122,7.88,3.636381993,1.089358518,0.004834317,0.268866975,0.009142811,0.01164381,0.014171332,0.072393956,0.518876768
N4.RH.3,0.349487587,0.582572982,0.192544952,Rhizosphere,N4,N4.RH,400,2,679,0.223991796,548,-0.355898815,1048.026353,232208199.3,53709.45294,85974758.96,2917782406,59392.77974,1508120.19,409317.9662,3801871.05,10326068.45,65632.18433,658718.1329,1.583918786,1.337435897,21.4825641,13.04,19.12223482,25.44755918,169.4808497,1.266474465,42.9,20.09884679,120,7.89,4.073610819,0.603639695,0.004952588,0.264363298,0.007429175,0.01145878,0.01719813,0.062067138,0.135494575
N4.RH.4,0.313241371,0.584339405,0.310202526,Rhizosphere,N4,N4.RH,400,2,347,0.022272578,273,-0.0599635,1819.748048,220547530.6,46332.72327,89120734.77,2443578982,51225.23905,1756335.478,373496.8665,3649702.198,7515624.866,110227.2011,451289.0905,1.564406013,1.358333333,21.14820513,12.95641026,19.15993357,24.98855023,158.9974981,1.234817814,42.6,19.91902834,124,7.9,4.025937186,0.914818059,0.004446604,0.26623426,0.012520744,0.010766997,0.01666071,0.052044188,0.069876372
