"source","target","correlation","direct","cor"
"fun_ASV_435","bac_ASV_12724",1,"undirected","+"
"fun_ASV_1463","bac_ASV_12724",1,"undirected","+"
"fun_ASV_68","bac_ASV_1916",0.812766516651252,"undirected","+"
"fun_ASV_214","bac_ASV_1916",0.845493126575964,"undirected","+"
"fun_ASV_1999","bac_ASV_1916",0.809939502680292,"undirected","+"
"fun_ASV_381","bac_ASV_2272",1,"undirected","+"
"fun_ASV_1249","bac_ASV_2272",1,"undirected","+"
"fun_ASV_1330","bac_ASV_2272",1,"undirected","+"
"fun_ASV_885","bac_ASV_2765",1,"undirected","+"
"fun_ASV_435","bac_ASV_2765",1,"undirected","+"
"fun_ASV_1463","bac_ASV_2765",1,"undirected","+"
"fun_ASV_885","bac_ASV_1483",1,"undirected","+"
"fun_ASV_435","bac_ASV_1483",1,"undirected","+"
"fun_ASV_1463","bac_ASV_1483",1,"undirected","+"
"fun_ASV_61","bac_ASV_2058",1,"undirected","+"
"fun_ASV_1166","bac_ASV_2058",1,"undirected","+"
"fun_ASV_61","bac_ASV_1022",1,"undirected","+"
"fun_ASV_1166","bac_ASV_1022",1,"undirected","+"
"fun_ASV_510","bac_ASV_2113",0.833411114786589,"undirected","+"
"fun_ASV_993","bac_ASV_2113",0.994459833795014,"undirected","+"
"fun_ASV_61","bac_ASV_2041",1,"undirected","+"
"fun_ASV_1166","bac_ASV_2041",1,"undirected","+"
"fun_ASV_224","bac_ASV_2857",0.860339731285224,"undirected","+"
"fun_ASV_246","bac_ASV_2857",0.906407616963281,"undirected","+"
"fun_ASV_68","bac_ASV_607",0.859239633194807,"undirected","+"
"fun_ASV_1999","bac_ASV_607",0.853935684841753,"undirected","+"
"fun_ASV_860","bac_ASV_2083",0.838054073643339,"undirected","+"
"fun_ASV_1062","bac_ASV_2083",1,"undirected","+"
"fun_ASV_652","bac_ASV_1468",0.838054073643339,"undirected","+"
"fun_ASV_927","bac_ASV_1468",0.994459833795014,"undirected","+"
"fun_ASV_265","bac_ASV_1877",0.831142107462498,"undirected","+"
"fun_ASV_1772","bac_ASV_1877",0.813847509649415,"undirected","+"
"fun_ASV_112","bac_ASV_3662",1,"undirected","+"
"fun_ASV_1181","bac_ASV_3662",1,"undirected","+"
"fun_ASV_860","bac_ASV_3815",0.838054073643339,"undirected","+"
"fun_ASV_1062","bac_ASV_3815",1,"undirected","+"
"fun_ASV_93","bac_ASV_4514",0.817026601483983,"undirected","+"
"fun_ASV_2343","bac_ASV_4514",0.889252062561134,"undirected","+"
"fun_ASV_61","bac_ASV_6508",1,"undirected","+"
"fun_ASV_1166","bac_ASV_6508",1,"undirected","+"
"fun_ASV_373","bac_ASV_4494",0.838054073643339,"undirected","+"
"fun_ASV_1207","bac_ASV_4494",1,"undirected","+"
