"source","target","correlation","direct","cor"
"fun_ASV_269","bac_ASV_1071",0.838730099215623,"undirected","+"
"fun_ASV_734","bac_ASV_1071",0.869454276495467,"undirected","+"
"fun_ASV_1859","bac_ASV_1979",1,"undirected","+"
"fun_ASV_1651","bac_ASV_1979",1,"undirected","+"
"fun_ASV_1859","bac_ASV_1972",1,"undirected","+"
"fun_ASV_1651","bac_ASV_1972",1,"undirected","+"
"fun_ASV_773","bac_ASV_3063",0.833411114786589,"undirected","+"
"fun_ASV_1346","bac_ASV_3063",0.833411114786589,"undirected","+"
"fun_ASV_1002","bac_ASV_2984",0.978461538461539,"undirected","+"
"fun_ASV_2048","bac_ASV_2984",0.865066275114029,"undirected","+"
"fun_ASV_1859","bac_ASV_1438",1,"undirected","+"
"fun_ASV_1651","bac_ASV_1438",1,"undirected","+"
"fun_ASV_31","bac_ASV_3113",0.932045333066698,"undirected","+"
"fun_ASV_406","bac_ASV_3113",0.807453416149068,"undirected","+"
"fun_ASV_1071","bac_ASV_2159",1,"undirected","+"
"fun_ASV_2343","bac_ASV_2159",1,"undirected","+"
"fun_ASV_153","bac_ASV_1293",1,"undirected","+"
"fun_ASV_370","bac_ASV_1293",1,"undirected","+"
"fun_ASV_1859","bac_ASV_8077",1,"undirected","+"
"fun_ASV_1651","bac_ASV_8077",1,"undirected","+"
"fun_ASV_78","bac_ASV_269",-0.842448417714231,"undirected","-"
"fun_ASV_68","bac_ASV_379",-0.807856682214183,"undirected","-"
"fun_ASV_515","bac_ASV_317",0.811824962426492,"undirected","+"
"fun_ASV_633","bac_ASV_404",0.819024555177603,"undirected","+"
"fun_ASV_633","bac_ASV_386",-0.803214903725787,"undirected","-"
"fun_ASV_633","bac_ASV_455",-0.810719515290934,"undirected","-"
"fun_ASV_68","bac_ASV_1374",-0.835036907036342,"undirected","-"
"fun_ASV_1672","bac_ASV_294",1,"undirected","+"
"fun_ASV_477","bac_ASV_1139",0.809669193149048,"undirected","+"
"fun_ASV_198","bac_ASV_1160",0.857921520013609,"undirected","+"
"fun_ASV_515","bac_ASV_1202",-0.81987168562235,"undirected","-"
