ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_10109	Fungi	Glomeromycota	Glomeromycetes	Glomerales			
ASV_1011	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Claroideoglomeraceae	Claroideoglomus	
ASV_10110	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10111	Fungi	Glomeromycota	Glomeromycetes				
ASV_10112	Fungi	Glomeromycota	Glomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	Alguacil12a_Para_1
ASV_10113	Fungi	Glomeromycota	Glomeromycetes				
ASV_10114	Fungi	Glomeromycota	Glomeromycetes				
ASV_10115	Fungi	Glomeromycota	Glomeromycetes				
ASV_10116	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10117	Fungi	Glomeromycota	Glomeromycetes				
ASV_10118	Fungi	Glomeromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Diversispora	Clade_3
ASV_10119	Fungi	Glomeromycota	Glomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	Alguacil12a_Para_1
ASV_10120	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10121	Fungi	Glomeromycota	Glomeromycetes	Glomerales			
ASV_10122	Fungi	Glomeromycota	Glomeromycetes				
ASV_10123	Fungi	Glomeromycota	Glomeromycetes				
ASV_10124	Fungi	Glomeromycota	Glomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	Glom_1B13
ASV_10125	Fungi	Glomeromycota	Glomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	
ASV_1012	Fungi	Glomeromycota	Glomeromycetes				
ASV_10126	Fungi	Glomeromycota	Glomeromycetes				
ASV_10127	Fungi	Glomeromycota	Glomeromycetes				
ASV_10128	Fungi	Glomeromycota	Glomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	
ASV_10129	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_1013	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10130	Fungi	Glomeromycota	Glomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	
ASV_10131	Fungi	Glomeromycota	Glomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	Para1_OTU2
ASV_10132	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	NES25
ASV_10133	Fungi	Glomeromycota	Glomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	
ASV_10134	Fungi	Glomeromycota	Glomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	Para1_OTU2
ASV_10135	Fungi	Glomeromycota	Glomeromycetes	Glomerales			
ASV_10136	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10137	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10138	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10139	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10140	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
