"Group","Process","Observed","Mean","Stdev","Min","Quartile25","Median","Quartile75","Max","Lower.whisker","Lower.hinge","Median","Upper.hinge","Upper.whisker","Outlier1","Outlier2","Outlier3","Outlier4","Outlier5","Outlier6"
"Nodule_vs_Rootzone","Drift.and.Others","4.705094e-01","4.724639e-01","3.772031e-02","0.386401390","4.467914e-01","4.695492e-01","4.932251e-01","6.252593e-01","0.386401390","4.467914e-01","4.695492e-01","4.932251e-01","5.547210e-01","6.252593e-01",NA,NA,NA,NA,NA
"Nodule_vs_Rootzone","Stochasticity","8.415166e-01","8.435839e-01","4.944825e-02","0.723642771","8.065313e-01","8.546474e-01","8.748788e-01","9.288433e-01","0.723642771","8.065313e-01","8.546474e-01","8.748788e-01","9.288433e-01",NA,NA,NA,NA,NA,NA
"Nodule_vs_Original","Heterogeneous.Selection","0.0341470022","0.0343471613","0.0063720578","2.186830e-02","0.0291667501","0.0338455071","0.0389149102","0.048726995","2.186830e-02","0.0291667501","0.0338455071","0.0389149102","0.048726995",NA,NA,NA,NA,NA,NA
"Nodule_vs_Original","Homogeneous.Selection","0.0831387193","0.0811891290","0.0298094240","2.613859e-02","0.0578809761","0.0816394667","0.0954907798","0.175087870","2.613859e-02","0.0578809761","0.0816394667","0.0954907798","0.146030759","0.1750879","0.1524451","0.1673616",NA,NA,NA
"Nodule_vs_Original","Dispersal.Limitation","0.4975467220","0.4968760578","0.0298099704","4.157516e-01","0.4789359121","0.5002290137","0.5197330250","0.541796340","4.197565e-01","0.4789359121","0.5002290137","0.5197330250","0.541796340","0.4157516",NA,NA,NA,NA,NA
"Nodule_vs_Original","Homogenizing.Dispersal","0.0006184174","0.0005978148","0.0003933874","5.447952e-05","0.0002405666","0.0005996424","0.0008908406","0.001737644","5.447952e-05","0.0002405666","0.0005996424","0.0008908406","0.001737644",NA,NA,NA,NA,NA,NA
"Nodule_vs_Original","Drift.and.Others","0.3845491391","0.3869898372","0.0229490334","3.169841e-01","0.3742413987","0.3876273765","0.4027786280","0.440108817","3.393425e-01","0.3742413987","0.3876273765","0.4027786280","0.440108817","0.3205714","0.3222953","0.3169841",NA,NA,NA
"Nodule_vs_Original","Stochasticity","0.8827142785","0.8844637097","0.0314832372","7.962908e-01","0.8649627183","0.8838552160","0.9096743479","0.944831580","8.060981e-01","0.8649627183","0.8838552160","0.9096743479","0.944831580","0.7962908","0.7965055",NA,NA,NA,NA
"Root_vs_Rhizosphere","Heterogeneous.Selection","0.008604603","0.008419557","0.001642219","0.004653891","0.007123021","0.008490861","0.009634708","0.01198841","0.004653891","0.007123021","0.008490861","0.009634708","0.01198841",NA,NA,NA,NA,NA,NA
"Root_vs_Rhizosphere","Homogeneous.Selection","0.190780093","0.193576092","0.027923603","0.124072258","0.175415873","0.194007036","0.205093746","0.29535764","0.139675135","0.175415873","0.194007036","0.205093746","0.24918662","0.12407226","0.26571239","0.2953576","0.2561846",NA,NA
"Root_vs_Rhizosphere","Dispersal.Limitation","0.301976781","0.302903090","0.033494048","0.216993811","0.278740945","0.304504110","0.326021106","0.37825411","0.216993811","0.278740945","0.304504110","0.326021106","0.37825411",NA,NA,NA,NA,NA,NA
"Root_vs_Rhizosphere","Homogenizing.Dispersal","0.014145089","0.014369165","0.002143205","0.009805813","0.012874574","0.014145089","0.015267762","0.02496051","0.009805813","0.012874574","0.014145089","0.015267762","0.01869490","0.01892814","0.02496051",NA,NA,NA,NA
"Root_vs_Rhizosphere","Drift.and.Others","0.484493434","0.480732096","0.026140732","0.405629902","0.466322491","0.484493434","0.495556186","0.56090621","0.429909255","0.466322491","0.484493434","0.495556186","0.53696589","0.55510088","0.42213931","0.4056299","0.5609062",NA,NA
