# QIIME-formatted OTU table																																																																																																				
#OTU ID	N0.Z.1	N0.Z.2	N0.Z.3	N0.Z.4	N0.Z.5	N2.Z.1	N2.Z.2	N2.Z.3	N2.Z.4	N2.Z.5	N4.Z.1	N4.Z.2	N4.Z.3	N4.Z.4	N4.Z.5	N6.Z.1	N6.Z.2	N6.Z.3	N6.Z.4	N6.Z.5	N0.RH.1	N0.RH.2	N0.RH.3	N0.RH.4	N0.RH.5	N2.RH.1	N2.RH.2	N2.RH.3	N2.RH.4	N2.RH.5	N4.RH.1	N4.RH.2	N4.RH.3	N4.RH.4	N4.RH.5	N6.RH.1	N6.RH.2	N6.RH.3	N6.RH.4	N6.RH.5	N0.RT.1	N0.RT.2	N0.RT.3	N0.RT.4	N0.RT.5	N2.RT.1	N2.RT.2	N2.RT.3	N2.RT.4	N2.RT.5	N4.RT.1	N4.RT.2	N4.RT.3	N4.RT.4	N4.RT.5	N6.RT.1	N6.RT.2	N6.RT.3	N6.RT.4	N6.RT.5	N0.N.1	N0.N.2	N0.N.3	N0.N.4	N0.N.5	N2.N.1	N2.N.2	N2.N.3	N2.N.4	N2.N.5	N4.N.1	N4.N.2	N4.N.3	N4.N.4	N4.N.5	N6.N.1	N6.N.2	N6.N.3	N6.N.4	N6.N.5	N0.O.1	N0.O.2	N0.O.3	N0.O.4	N0.O.5	N2.O.1	N2.O.2	N2.O.3	N2.O.4	N2.O.5	N4.O.1	N4.O.2	N4.O.3	N4.O.4	N4.O.5	N6.O.1	N6.O.2	N6.O.3	N6.O.4	N6.O.5
ASV_10075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.473	0	0	0	0	0
ASV_10076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.166	0	0	0	0	0	0	0.475	0	0	0
ASV_1008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.396	12.2	5.048	13.167	3.595	0	0	0	0	3.088	0	0	0	0	0	0	0	1.605	3.661	3.609
ASV_10083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.159	0	0	0	0	0	0	0	0	0
ASV_10087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.428	16.181	53.015	14.506	22.423	0	22.327	20.878	0	0	0	0	0	23.81	35.139	22.591	0	38.632	72.904
ASV_10091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.728	0.291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.97	5.932	12.324	3.185	4.471	6.191	0	0	2.349	3.5	0	0	0	0	4.388	0	1.736	239.272	0	240.365
ASV_10100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_101	9.191	19.672	4.405	0	3.628	0	0	0	0	0	15.397	0	0	0	0	0	0	0	0	1.903	4.512	47.556	17.02	0	0	0	0	0	0	0	0	0	2.926	0	0	5.416	2.923	7.778	0	0	118.969	18.707	17.03	0	410.366	0	0	0	0	0	0	0	1.256	52.614	30.827	2905.146	0	0	16.114	436.212	0	0	0	0	0	6239.453	0	0	0	808.626	7.021	704.221	392.788	2229.562	0	0	0	0	5.347	8.866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
